Iter,Delete,New,Update,Match
1,942,832,132
2,1873,1666,275
3,2180,2549,381
4,2180,3422,494
5,2180,4277,608
6,2180,5169,705
7,2180,6038,808
8,2180,6913,911
9,2180,7798,1032
10,2180,8675,1136

